ANC_EMPLOI;STITUATION_FAM;MODE_LOGT;AGE_VEH;VN_VO;MARQUE;PRIX_VEH;MT_APPORT;MT_FINANCE;MT_MENS;VR_BALLON;DUREE_CONTRAT;MT_PREST;MT_ASSUR;mois_gestion;age_cli;anciennete_rci;pc_appo;def12_31
65;2;1;NA;VN;REN;19584,65;0;19584,65;95,01;19584,63;6;NA;NA;01/03/2015;28;1;0;0
563;11;2;28;VO;REN;16995;2123;14872;312,34;NA;60;150;NA;01/06/2014;64;3;12;0
107;2;2;16;VO;REN;19950;3869;16081;329,93;NA;60;150;NA;01/08/2015;51;3;19;0
143;2;2;10;VO;REN;17500;7143,5;10356,5;217,51;NA;60;150;NA;01/04/2015;42;4;41;0
110;2;NA;7;VO;REN;19740;3789,4;15950,6;310,33;7523,04;36;150;395;01/02/2015;34;4;19;0
446;1;2;NA;VN;DAC;14900;7900;7000;220,97;NA;36;150;NA;01/08/2015;55;4;53;0
143;1;2;NA;VN;REN;18394;5518;12876;228,72;6466,86;36;150;1279,64;01/11/2014;62;3;30;0
108;1;2;NA;VN;REN;19923,79;5116,62;14807,17;289,72;NA;60;150;NA;01/11/2014;44;3;26;0
323;2;2;3;VO;REN;18500;10000;8500;180,72;NA;48;75;NA;01/10/2015;44;4;54;0
48;1;2;71;VO;MER;14000;4000;10000;329,76;NA;36;150;NA;01/05/2014;38;3;29;0
155;1;2;NA;VN;REN;21250;5450;15800;309,15;NA;60;150;NA;01/09/2014;55;3;26;0
151;2;2;NA;VN;REN;16499;6499;10000;282,08;NA;36;75;NA;01/10/2015;51;4;39;0
302;1;2;47;VO;REN;5255,38;0;5255,38;134,56;NA;48;75;NA;01/04/2015;49;4;0;0
203;1;2;NA;VN;REN;25000;10000;15000;293,49;NA;60;150;NA;01/10/2014;44;3;40;0
563;1;2;NA;VN;REN;17390;12390;5000;227,28;NA;24;150;395;01/09/2014;68;3;71;0
234;2;1;NA;VN;REN;23030;14730;8300;254,39;NA;36;150;NA;01/04/2014;35;3;64;0
255;1;2;NA;VN;DAC;20000;2000;18000;443,67;NA;48;150;NA;01/04/2015;44;4;10;0
255;1;2;NA;VN;REN;23230;3230;20000;492,97;NA;48;150;NA;01/07/2015;44;4;14;0
551;1;2;32;VO;REN;9000;2500;6500;136,51;NA;60;150;NA;01/08/2014;75;3;28;0
287;1;2;NA;VN;REN;17300;1740;15560;319,24;NA;60;150;NA;01/01/2015;56;4;10;0
477;1;2;NA;VN;DAC;14500;1450;13050;267,74;NA;60;150;295;01/11/2014;62;3;10;0
477;1;2;NA;VN;DAC;20000;2000;18000;369,3;NA;60;150;NA;01/10/2015;63;4;10;0
408;1;2;NA;VN;REN;21595;7500;14095;275,78;NA;60;150;NA;01/04/2015;64;4;35;0
410;1;2;33;VO;FOR;16500;3500;13000;279,42;NA;60;150;NA;01/11/2014;51;NA;21;0
323;1;2;40;VO;REN;14950;2207,31;12742,69;332,44;NA;48;150;NA;01/03/2014;60;3;15;0
203;1;2;NA;VN;REN;20645;6750;13895;438,63;NA;36;150;395;01/12/2014;50;NA;33;0
203;1;2;NA;VN;REN;22390;6783,97;15606,03;440,22;NA;36;75;395;01/09/2015;51;1;30;0
301;1;2;NA;VN;DAC;17900;3000;14900;305,7;NA;60;150;NA;01/03/2015;60;4;17;0
83;1;2;18;VO;REN;19995;5227;14768;302,99;NA;60;150;NA;01/08/2015;61;4;26;0
102;1;2;NA;VN;NIS;27945;7000;20945;406,82;9824,34;36;150;NA;01/03/2015;43;4;25;0
159;1;2;NA;VN;REN;22500;4900;17600;328,89;8254,08;36;150;399;01/03/2014;55;NA;22;0
443;1;2;NA;VN;REN;22500;2700;19800;387,41;NA;60;150;NA;01/05/2014;60;3;12;0
366;1;2;NA;VN;REN;20250,16;9250;11000,16;305,56;NA;36;NA;NA;01/03/2015;58;4;46;0
186;3;4;15;VO;REN;17950;2688;15262;320,53;NA;60;150;NA;01/07/2014;41;3;15;0
119;1;2;NA;VN;REN;19227,75;8227,59;11000,16;305,56;NA;36;NA;NA;01/10/2014;45;NA;43;0
179;1;2;46;VO;REN;11500;1500;10000;210,02;NA;60;150;NA;01/11/2014;47;3;13;0
443;4;2;NA;VN;REN;21000;7000;14000;318,62;NA;48;150;NA;01/09/2015;69;NA;33;0
37;2;4;NA;VN;REN;26730,16;15730;11000,16;305,56;NA;36;NA;NA;01/02/2015;32;4;59;0
129;3;2;NA;VN;REN;26230;6745;19485;381,25;NA;60;150;NA;01/08/2015;44;4;26;0
88;2;4;44;VO;NIS;13200;3130;10070;248,21;NA;48;150;NA;01/11/2014;31;NA;24;0
